threshold,precision,recall,false_positive_rate,intervened_ratio_all,estimated_spread_reduction_ratio
0.00032452096154079736,0.5050505050505051,1.0,0.98,0.99,0.9742180982032029
0.025953199579455802,0.7415506958250497,0.9946666666666667,0.3466666666666667,0.6706666666666666,0.17713611297641577
0.05158187819737081,0.7931769722814499,0.992,0.25866666666666666,0.6253333333333333,0.07594163970453574
0.07721055681528581,0.8233333333333334,0.988,0.212,0.6,0.07557536169952994
0.10283923543320082,0.8367346938775511,0.984,0.192,0.588,0.07553466414341818
0.12846791405111582,0.8618266978922716,0.9813333333333333,0.15733333333333333,0.5693333333333334,0.07423234234784201
0.1540965926690308,0.8712753277711561,0.9746666666666667,0.144,0.5593333333333333,0.07406955212339499
0.17972527128694582,0.8868613138686131,0.972,0.124,0.548,0.07384571556478034
0.20535394990486083,0.8996282527881041,0.968,0.108,0.538,0.0737846692306127
0.23098262852277585,0.9039900249376559,0.9666666666666667,0.10266666666666667,0.5346666666666666,0.0737846692306127
0.25661130714069086,0.9108040201005025,0.9666666666666667,0.09466666666666666,0.5306666666666666,0.0737846692306127
0.28223998575860587,0.9118387909319899,0.9653333333333334,0.09333333333333334,0.5293333333333333,0.0737846692306127
0.30786866437652083,0.9221938775510204,0.964,0.08133333333333333,0.5226666666666666,0.07374397167450095
0.33349734299443584,0.9314359637774903,0.96,0.07066666666666667,0.5153333333333333,0.07374397167450095
0.35912602161235085,0.9387222946544981,0.96,0.06266666666666666,0.5113333333333333,0.07360153022810981
0.38475470023026587,0.9421052631578948,0.9546666666666667,0.058666666666666666,0.5066666666666667,0.07360153022810981
0.4103833788481809,0.9445910290237467,0.9546666666666667,0.056,0.5053333333333333,0.07360153022810981
0.4360120574660959,0.9470899470899471,0.9546666666666667,0.05333333333333334,0.504,0.07360153022810981
0.4616407360840109,0.9533333333333334,0.9533333333333334,0.04666666666666667,0.5,0.07360153022810981
0.4872694147019259,0.9533333333333334,0.9533333333333334,0.04666666666666667,0.5,0.07360153022810981
0.5128980933198409,0.9530201342281879,0.9466666666666667,0.04666666666666667,0.49666666666666665,0.07360153022810981
0.5385267719377559,0.954177897574124,0.944,0.04533333333333334,0.49466666666666664,0.07360153022810981
0.564155450555671,0.9566982408660352,0.9426666666666667,0.042666666666666665,0.49266666666666664,0.07360153022810981
0.5897841291735859,0.9591836734693877,0.94,0.04,0.49,0.00042732433917343264
0.6154128077915009,0.9643835616438357,0.9386666666666666,0.034666666666666665,0.4866666666666667,0.00038662678306167713
0.6410414864094159,0.9669421487603306,0.936,0.032,0.484,0.00038662678306167713
0.6666701650273309,0.9694444444444444,0.9306666666666666,0.029333333333333333,0.48,0.00038662678306167713
0.692298843645246,0.9692737430167597,0.9253333333333333,0.029333333333333333,0.47733333333333333,0.00038662678306167713
0.7179275222631609,0.9691011235955056,0.92,0.029333333333333333,0.4746666666666667,0.00038662678306167713
0.743556200881076,0.9716713881019831,0.9146666666666666,0.02666666666666667,0.4706666666666667,0.00038662678306167713
0.769184879498991,0.9771754636233951,0.9133333333333333,0.021333333333333333,0.4673333333333333,0.00038662678306167713
0.794813558116906,0.9798561151079137,0.908,0.018666666666666668,0.4633333333333333,0.00038662678306167713
0.820442236734821,0.9826086956521739,0.904,0.016,0.46,0.00038662678306167713
0.8460709153527359,0.9882352941176471,0.896,0.010666666666666666,0.4533333333333333,0.00038662678306167713
0.871699593970651,0.9910846953937593,0.8893333333333333,0.008,0.44866666666666666,0.00038662678306167713
0.897328272588566,0.990990990990991,0.88,0.008,0.444,0.00038662678306167713
0.922956951206481,0.9923664122137404,0.8666666666666667,0.006666666666666667,0.43666666666666665,0.00030523167083816615
0.948585629824396,0.9953198127925117,0.8506666666666667,0.004,0.42733333333333334,0.00030523167083816615
0.974214308442311,1.0,0.8173333333333334,0.0,0.4086666666666667,0.00030523167083816615
0.999842987060226,1.0,0.02,0.0,0.01,0.0
