threshold,precision,recall,false_positive_rate,intervened_ratio_all,estimated_spread_reduction_ratio
2.303238067246235e-05,0.050505050505050504,1.0,0.9894736842105263,0.99,0.9072611751652527
0.025572281744212964,0.5318518518518518,0.9573333333333334,0.04435087719298245,0.09,7.065436408455495e-05
0.05112153110775347,0.6981317600786627,0.9466666666666667,0.021543859649122806,0.0678,1.2037410177368623e-05
0.07667078047129397,0.7783902976846747,0.9413333333333334,0.014105263157894737,0.06046666666666667,1.0990678857597438e-05
0.10222002983483447,0.813953488372093,0.9333333333333333,0.011228070175438596,0.05733333333333333,1.0990678857597438e-05
0.127769279198375,0.8442028985507246,0.932,0.009052631578947368,0.0552,1.0990678857597438e-05
0.1533185285619155,0.8710888610763454,0.928,0.0072280701754385964,0.053266666666666664,1.0467313197711845e-05
0.178867777925456,0.8829516539440203,0.9253333333333333,0.006456140350877193,0.0524,1.0467313197711845e-05
0.2044170272889965,0.9093298291721419,0.9226666666666666,0.004842105263157895,0.05073333333333333,1.0467313197711845e-05
0.229966276652537,0.9222520107238605,0.9173333333333333,0.004070175438596491,0.04973333333333333,9.42058187794066e-06
0.2555155260160775,0.9307065217391305,0.9133333333333333,0.0035789473684210526,0.04906666666666667,9.42058187794066e-06
0.281064775379618,0.9368131868131868,0.9093333333333333,0.0032280701754385964,0.04853333333333333,7.850484898283884e-06
0.3066140247431585,0.9443671766342142,0.9053333333333333,0.002807017543859649,0.047933333333333335,7.850484898283884e-06
0.332163274106699,0.9493670886075949,0.9,0.0025263157894736842,0.0474,7.850484898283884e-06
0.3577125234702395,0.953257790368272,0.8973333333333333,0.0023157894736842107,0.047066666666666666,7.850484898283884e-06
0.38326177283378,0.9568345323741008,0.8866666666666667,0.002105263157894737,0.04633333333333333,7.850484898283884e-06
0.4088110221973205,0.9609261939218524,0.8853333333333333,0.001894736842105263,0.046066666666666665,7.850484898283884e-06
0.43436027156086104,0.9623188405797102,0.8853333333333333,0.001824561403508772,0.046,7.850484898283884e-06
0.4599095209244015,0.9635036496350365,0.88,0.0017543859649122807,0.04566666666666667,7.850484898283884e-06
0.48545877028794204,0.966275659824047,0.8786666666666667,0.0016140350877192982,0.04546666666666667,7.850484898283884e-06
0.5110080196514826,0.9718934911242604,0.876,0.0013333333333333333,0.045066666666666665,7.850484898283884e-06
0.536557269015023,0.9731743666169895,0.8706666666666667,0.0012631578947368421,0.04473333333333333,7.850484898283884e-06
0.5621065183785635,0.9728506787330317,0.86,0.0012631578947368421,0.0442,7.850484898283884e-06
0.587655767742104,0.9742813918305597,0.8586666666666667,0.001192982456140351,0.044066666666666664,7.850484898283884e-06
0.6132050171056446,0.9757575757575757,0.8586666666666667,0.0011228070175438596,0.044,7.850484898283884e-06
0.6387542664691851,0.9771689497716894,0.856,0.0010526315789473684,0.0438,7.850484898283884e-06
0.6643035158327255,0.9831029185867896,0.8533333333333334,0.0007719298245614035,0.0434,7.850484898283884e-06
0.689852765196266,0.9860031104199067,0.8453333333333334,0.0006315789473684211,0.042866666666666664,7.850484898283884e-06
0.7154020145598066,0.9874213836477987,0.8373333333333334,0.0005614035087719298,0.0424,7.850484898283884e-06
0.7409512639233471,0.9889064976228209,0.832,0.0004912280701754386,0.04206666666666667,7.850484898283884e-06
0.7665005132868875,0.9935275080906149,0.8186666666666667,0.0002807017543859649,0.0412,7.850484898283884e-06
0.792049762650428,0.9950413223140496,0.8026666666666666,0.0002105263157894737,0.04033333333333333,7.850484898283884e-06
0.8175990120139686,0.9949579831932773,0.7893333333333333,0.0002105263157894737,0.03966666666666667,7.850484898283884e-06
0.8431482613775091,0.9965694682675815,0.7746666666666666,0.00014035087719298245,0.03886666666666667,7.850484898283884e-06
0.8686975107410496,0.9965034965034965,0.76,0.00014035087719298245,0.03813333333333333,7.850484898283884e-06
0.89424676010459,0.9963833634719711,0.7346666666666667,0.00014035087719298245,0.036866666666666666,7.850484898283884e-06
0.9197960094681306,0.9962121212121212,0.7013333333333334,0.00014035087719298245,0.0352,7.850484898283884e-06
0.9453452588316711,0.9960159362549801,0.6666666666666666,0.00014035087719298245,0.033466666666666665,7.850484898283884e-06
0.9708945081952116,0.9977426636568849,0.5893333333333334,7.017543859649122e-05,0.029533333333333335,0.0
0.996443757558752,1.0,0.20133333333333334,0.0,0.010066666666666666,0.0
