ablation,model,n_features,val_roc_auc,val_pr_auc,val_recall_at_p95,test_roc_auc,test_pr_auc,test_recall_at_p95
full,HGB,12,0.9313686992725656,0.7143642061070312,0.368,0.9367992046783626,0.6933337449562581,0.228
minus_content,HGB,8,0.8465802633733305,0.410937342279954,0.05733333333333333,0.8546239064327485,0.406793173911768,0.050666666666666665
minus_social_account,HGB,6,0.8581203658222815,0.5116638051640944,0.26266666666666666,0.8529486315789474,0.47902958085706737,0.16533333333333333
minus_social_interaction,HGB,10,0.922616518139078,0.6776816631538292,0.3626666666666667,0.9287518128654972,0.6585603144350191,0.24666666666666667
full,LR,12,0.7189953453558815,0.11530322573183144,0.0,0.7077339883040936,0.11300313373967422,0.0
minus_content,LR,8,0.6271449488924754,0.07201442523569804,0.004,0.6327552748538012,0.07659931098291842,0.0013333333333333333
minus_social_account,LR,6,0.6712279372207799,0.10937717747496115,0.0,0.6551373099415205,0.10385173521999691,0.0
minus_social_interaction,LR,10,0.7142054124856735,0.10956455782891626,0.0,0.7022606783625732,0.10631179558545159,0.0
