ablation,model,n_features,val_roc_auc,val_pr_auc,val_recall_at_p95,test_roc_auc,test_pr_auc,test_recall_at_p95
full,HGB,12,0.986199111111111,0.9892879146228357,0.94,0.9886595555555556,0.9906505076637082,0.9546666666666667
minus_content,HGB,8,0.9614915555555554,0.9690672647807353,0.8666666666666667,0.9717208888888889,0.9752430153965267,0.8906666666666667
minus_social_account,HGB,6,0.9407271111111113,0.9478021162199826,0.7853333333333333,0.9356648888888889,0.9343903721349098,0.7546666666666667
minus_social_interaction,HGB,10,0.9835395555555555,0.987348733783335,0.9346666666666666,0.9872995555555556,0.9894668053634357,0.944
full,LR,12,0.844897777777778,0.7691532494590638,0.0,0.8425937777777777,0.7680817903330575,0.0
minus_content,LR,8,0.7996817777777778,0.7807608957384086,0.072,0.8015768888888889,0.7567182321164951,0.0013333333333333333
minus_social_account,LR,6,0.7950906666666666,0.6997005461481985,0.0,0.7955706666666666,0.7060797570005416,0.0
minus_social_interaction,LR,10,0.8297493333333333,0.7556647147635248,0.0,0.8180657777777777,0.7482352879913765,0.0
