ablation,model,n_features,val_roc_auc,val_pr_auc,val_recall_at_p95,test_roc_auc,test_pr_auc,test_recall_at_p95
full,HGB,12,0.9809050125137416,0.9448306197248986,0.888,0.9855306666666666,0.9530305285105937,0.9
minus_content,HGB,8,0.9610723458002948,0.867307992837601,0.6746666666666666,0.9696507134502923,0.884684133962365,0.712
minus_social_account,HGB,6,0.9404152223235797,0.6620064443328844,0.08933333333333333,0.9423157426900586,0.6877656599134431,0.1
minus_social_interaction,HGB,10,0.9843214745164082,0.9408897032826752,0.8813333333333333,0.9831057777777776,0.9489232902360283,0.8893333333333333
full,LR,12,0.852017682969616,0.1921962546274678,0.0,0.8547828771929824,0.18977687890895897,0.0
minus_content,LR,8,0.8017460295183964,0.15572980753647345,0.0,0.8026422456140351,0.1633088091473182,0.004
minus_social_account,LR,6,0.804060299861998,0.12947664429376157,0.0,0.8127585964912281,0.13375932196064316,0.0
minus_social_interaction,LR,10,0.826358945571071,0.1682300778857814,0.0,0.8294871578947369,0.16828987964418704,0.0
